km,price
1000,18923.164614375077
2000,18768.540492859487
3000,20033.924543132067
4000,15573.439510684404
5000,15800.164334973935
6000,17975.424941518053
7000,16924.337759331152
8000,19428.49466519055
9000,16833.95184895758
10000,15675.392597329417
11000,21281.297537843107
12000,17748.44739902693
13000,18185.056409375848
14000,15050.503627573085
15000,16661.234550949634
16000,17821.84517941973
17000,15148.012845155394
18000,18051.396036691345
19000,15948.72262016239
20000,16416.612500413445
21000,15646.586775541205
22000,20404.556369017875
23000,16523.005550524133
24000,14284.5781420882
25000,17895.089824206378
26000,13658.312700057955
27000,16367.727190009511
28000,11880.659752240448
29000,12993.62790220314
30000,15893.722471738247
31000,16826.933159990822
32000,15542.736562379941
33000,14818.703435223519
34000,14297.792608821423
35000,11792.956019265144
36000,13160.311583210583
37000,13528.722458080425
38000,16414.24445243783
39000,14837.236579136923
40000,10473.919689274531
41000,14498.16793878959
42000,12929.835439167367
43000,12196.155999388082
44000,14623.352577681735
45000,15311.999044991902
46000,14962.560238232398
47000,11271.564953554724
48000,12181.575248297571
49000,13312.526862807128
50000,14451.090254244718
51000,11391.65152430942
52000,11828.682046672366
53000,9837.330051987943
54000,9507.586751838659
55000,13375.051644788397
56000,14312.480057141645
57000,11305.979756839331
58000,13307.065795784049
59000,11873.272050095267
60000,9709.760490789751
61000,11572.791211016827
62000,13776.073132931939
63000,10478.347921780098
64000,13529.287311628013
65000,5010.509791820511
66000,11743.805008750447
67000,10124.094136476342
68000,9201.985299068265
69000,9833.521553071005
70000,5524.862170798215
71000,8910.656224324975
72000,9914.225143023494
73000,12005.788089483032
74000,7863.459563452705
75000,7133.012794213625
76000,7596.485912830927
77000,10280.804235404148
78000,8957.502219319369
79000,7090.479592465923
80000,9026.534866226712
81000,8044.155098696081
82000,9637.289981065778
83000,6145.8938122452955
84000,6744.6757068044635
85000,6465.783693735685
86000,4172.970103735763
87000,7542.240554129152
88000,7322.110544359779
89000,6660.2269132849215
90000,6030.825733249706
91000,3519.2585158991715
92000,5358.709354469282
93000,5364.570966946461
94000,4295.445461556762
95000,5427.428576667981
96000,6408.101713629077
97000,9222.371802421061
98000,5649.155625663678
99000,5665.100781445529
